Volts,Energy Used
552.5727,3185.40267350821
551.30034,12974.3957684884
550.58964,22378.5352543057
550.0266,32178.839230586
549.12822,41545.0985347006
548.75286,51476.4263913473
548.40786,60763.0989208142
548.08356,70763.6571465792
547.78272,79964.4462996695
547.25004,90488.868080053
546.99888,99707.8775514239
546.75876,109210.976050188
546.52968,118464.565743454
546.31854,128540.839003527
545.91282,137889.343445616
545.72514,147288.205051104
545.53746,156714.682769944
545.35806,166315.068828118
545.19246,175935.851301773
545.02548,185518.061616792
544.70118,195110.697240211
544.55352,204671.672812925
544.39896,214273.774563922
544.26372,223880.398875706
544.11606,233456.751755081
543.8442,243037.374510421
543.72,252753.676768031
543.58338,262288.018911516
543.45918,271884.211706019
543.21906,281837.916197093
543.10314,291445.091393665
542.98998,300812.422016949
542.87406,310818.454652209
542.75952,320115.464584927
542.65464,329590.249503167
542.43522,339065.356090268
542.33034,349175.364550169
542.23788,358245.770704942
542.133,368407.899848762
542.0295,377451.699851627
541.84044,387633.837008467
541.7466,396630.410359557
541.65276,406824.333138989
541.55754,415817.826993121
541.46508,425970.402719364
541.29672,435072.155484314
541.20426,445223.132380372
541.12008,454620.069845197
541.03728,464398.603852557
540.9531,473844.335623024
540.7875,483651.519941552
540.71298,492588.688383379
540.6288,502613.890452746
540.55566,511820.002206202
540.4839,521703.390703283
540.32658,531003.973025165
540.25482,540712.990299304
540.1803,550198.47671332
540.10716,559899.876586999
540.0354,569368.276165427
539.89878,579101.121285791
539.82426,589130.438087402
539.7525,598643.318679854
539.6904,607970.808717712
539.62692,617442.120793056
539.49168,627315.205075732
539.42958,636671.470187265
539.3661,646136.157584927
539.30262,655770.279117677
539.2419,665362.476429048
539.17842,674976.038168102
539.05146,684570.907319403
539.00178,694161.125224878
538.9383,703758.961894996
538.87482,713361.288407596
538.82238,722925.480409764
538.70922,732667.570692689
538.64574,742118.801262984
538.5933,752115.077814106
538.5312,761515.35713453
538.42632,771386.379546201
538.37388,780905.627150532
538.3104,790240.716380003
538.26072,799685.179166455
538.2069,809313.846290673
538.15446,818895.041008442
538.04958,828484.532851505
537.99852,838194.09839178
537.95712,847740.42853945
537.90468,857351.460749434
537.85224,867032.81263885
537.7584,876537.617433115
537.70596,886081.426995488
537.66456,896267.434494494
537.61212,905645.767478802
537.55968,915020.280159677
537.46584,924974.602450094
537.42444,934312.804082418
537.38166,943800.02663597
537.32922,953440.421300396
537.28782,962876.380932672
537.19536,972704.814425335
537.15258,982076.057534174
537.11118,991971.332676619
537.0684,1001282.57161982
537.02838,1011267.99603152
536.9442,1020458.75686059
536.90142,1030539.45404787
536.86002,1039721.85899829
536.81724,1049764.98202785
536.77722,1059020.99092153
536.69304,1068957.59355159
536.65164,1078360.65775239
536.60886,1088164.70027353
536.57712,1097196.86320291
536.53572,1107354.67076951
536.45292,1116390.35587457
536.42256,1126552.62961954
536.37978,1135613.11683394
536.33838,1145644.78840099
536.30664,1154822.00823325
536.22384,1164781.56551094
536.1921,1174123.90920337
536.1507,1184372.51688714
536.11896,1193749.1065602
536.07618,1203389.11716827
536.01546,1212577.13657368
535.97406,1222192.62531902
535.94232,1231970.37563688
535.89954,1241483.82955858
535.8678,1250744.42786452
535.83606,1260348.85227611
535.7643,1269937.52679116
535.73394,1279544.25754099
535.7022,1289133.31000263
535.67046,1298731.35686397
535.62768,1308326.29945308
535.56558,1317948.27121243
535.53384,1327540.08516252
535.49382,1337164.19849993
535.46208,1346915.73024721
535.43034,1356909.47798414
535.36686,1366347.83613644
535.33512,1375731.37718295
535.30338,1385673.71271646
535.2744,1394984.3410772
535.24266,1404544.58386156
535.17918,1414018.950933
535.14744,1423628.1180149
535.11708,1433143.16193069
535.08534,1442792.30571371
535.0536,1452372.65169137
535.00254,1462011.99107773
534.9708,1471620.07481787
534.93906,1481212.56865197
534.90732,1490819.19395821
534.87696,1500402.49109196
534.82314,1510023.76562971
534.79278,1520465.61628538
534.76242,1529214.08321559
534.73068,1539334.87976304
534.70998,1548499.73989204
534.65754,1558843.20862322
534.6258,1567839.06891494
534.59406,1577716.21364617
534.56232,1586800.99858987
534.54162,1596819.7067218
534.4809,1605987.56037796
534.45882,1615940.6098829
534.42846,1625161.66858035
534.39672,1635035.10261365
534.37464,1644352.4236784
534.31254,1654057.48667142
534.29046,1663530.51341758
534.26148,1673341.78088757
534.24078,1683278.4039472
534.20904,1692845.24698159
534.1566,1702082.00646785
534.13452,1712214.49328766
534.10416,1721511.99495223
534.08208,1730888.34008695
534.05034,1740315.23853862
534.02964,1749946.27349369
533.97996,1759541.5650459
533.94822,1769148.39192066
533.92614,1778734.18386868
533.90544,1788325.72634908
533.8737,1797960.17351333
533.82126,1807519.23647956
533.80056,1817096.51064694
533.7702,1826784.31172318
533.7495,1836295.82239588
533.71776,1846257.53892711
533.67636,1855885.6339807
533.65566,1865271.55136496
533.62392,1875075.41000313
533.60184,1884431.6148141
533.57148,1893841.17905446
533.5287,1903472.48673915
533.49972,1913094.05515043
533.47764,1922688.86116
533.45694,1932332.34650947
533.4252,1941919.05496993
533.37276,1951559.38657559
533.35206,1961191.39766279
533.33136,1971357.04866157
533.30928,1980383.73580407
533.27754,1990577.67797055
533.23752,1999831.34687692
533.21682,2009253.85246542
533.18508,2019121.00545673
533.16438,2028455.92203366
533.14368,2037813.60674337
533.09124,2047427.56734107
533.06916,2057008.0316682
533.04846,2066602.86545335
533.02776,2076235.67265767
532.9974,2085845.81024947
532.956,2095467.23167673
532.9353,2105039.39989423
532.91322,2114634.21703507
532.89252,2124220.14410727
532.86078,2133818.19926593
532.81938,2143805.92360384
532.79868,2153132.28332601
532.7766,2163017.4970409
532.74762,2172503.3932743
532.72692,2181959.55022645
532.70484,2191398.19714936
532.66344,2201038.09625763
532.6317,2210620.7171513
532.611,2220193.78077635
532.58892,2229833.92551239
532.56822,2239385.00492202
532.52682,2248992.55205894
532.5075,2258610.24009408
532.4868,2268225.47632909
532.45506,2277787.06284671
532.41228,2287916.020476
532.39158,2297353.44677451
532.37088,2306750.10627123
532.3488,2316207.89805171
532.3281,2326060.07964973
532.29636,2335526.51946942
532.25634,2345145.97936585
532.23564,2354567.57638707
532.21494,2364435.092695
532.19424,2373737.32268664
532.17216,2383710.50389762
531.42144,2456810.4421839
531.51528,2465779.67995142
531.58704,2475795.22730193
531.59808,2484988.01884385
531.59808,2494973.3015018
